rule golly B2-ak3eqry4aciw5-akr6-a7e/S012aik3ry4rwyz5ekqry6n7c8 1.
rule golly B2eik3ciy4ijnrtw5-ae7/S12eik3-cer4eikqry5-ekqy7c 2.
rule golly B2cek3ejkn4aceijnt5-cejr6cek7e/S1c2ikn3-ijy4-aekqr5ejny6kn7c8 3.
rule golly B2ekn3eiry4aertwyz5-aknr6-in8/S01c2ak3-eiy4-acntw5-er6ack7c 4.
rule golly B2-ac3aikqy4acejnqz5-cn6cn7e/S2ein3-eqr4-cijwy5-ijqy6-cn8 5.
rule golly B2-ac3-ekny4ajnryz5acknq6cik7e/S12cik3-jry4qtw5acnqr6ein7 6.
rule golly B2cn3ainqy4aeijqrw5-ceiy6en7e8/S01c2-n3ciqry4ckrwy5-aen6kn7e8 7.
rule golly B2ce3iry4cijnqt5-ceik6-e7e/S1c23acijr4-rwyz5qy7c8 8.
rule golly B2cei3enr4ijkqwy5-qr6ci78/S01c2in3einy4-cntz5ajqy6en7e 9.
rule golly B2c3-kqry4-ekrw5ceq6cn/S01c2-en3-ceq4ejkrwyz5cinr7c8 10.
rule golly B2-ae3-ejky4aeinry5aenqy6ce78/S2-cn3-cenq4-akty5-ijk6cn7e 11.
rule golly B2-an3ajny4eijtw5cjnqr6-ek7e/S2-in3-cekr4acjknz5jkqry6ck78 12.
rule golly B2-ae3-ceik4aejkqt5-aijn6n7c8/S02cen3aejq4-eiyz5akqr6ek 13.
rule golly B2-ai3ejqry4aijknr5inr6-an7e/S2-ck3cejr4eijqrwy5cknq6c78 14.
rule golly B2e3ijry4aejrwz5-eijy6-ck8/S01e2ace3-i4acjnqwy5-jknr6-ck78 15.
rule golly B2ei3aeiq4-nqr5cnqry6cn7/S012ei3ijkr4ajkrwyz5cjkny6aen8 16.
rule golly B2-ak3-enr4einwz5aejy6ci78/S02aen3-jknq4cknqtwz5-air6ae7c8 17.
rule golly B2cek3-inr4ackqwyz5-jn6in7c8/S1c2kn3eky4ceqrwyz5-acey6-ck78 18.
rule golly B2-ae3-cen4enz5-aeiy6-i7c/S02ack3-aekq4-acny5ajkqy6ekn7e8 19.
rule golly B2cen3cin4ceknqtz5iny6ckn7e8/S1e2ak3cjkq4-aciny5cijkr6aei7e8 20.
rule golly B2-ak3-cejy4jqrw5-acjq6aik7c/S12ein3jkry4cejqtz5-ejry6ace7e 21.
rule golly B2en3cinqy4cknz5jqr6-in7c8/S01e2kn3ejkq4eijknqz5ckq6-a8 22.
rule golly B2en3ijnr4-ikrt5acry6-n7e/S02ekn3-ikry4aeijrw5aejkr6ce7e 23.
rule golly B2ce3-cejq4ekqtyz5-anqy6cn7c8/S12ik3jnr4erw5kqr6-kn7 24.
rule golly B2-ak3-aejq4eiqrt5-jnqy6ci/S02-ai3-acnr4-ajrty5ack6aik7e8 25.
rule golly B2-ak3ei4cijnwyz5aqy6ein78/S01e2cik3-ikqy4cjnr5aei6-kn7e 26.
rule golly B2-a3ejy4aktw5aenry6eik7/S2-ek3-cin4-jqz5acenq6cn78 27.
rule golly B2k3-ekqy4qwz5-iknr6ei7e/S1e2-ce3ceir4aciz5-ijnr6in8 28.
rule golly B2cn3-ijkq4-anrty5acikn6ac7c8/S2-k3cjkn4cryz5cijkn6cik7 29.
