soup time 6264 pop 4349 ratio 1.0 space 37654 30 37551 18841 rule lifelib r2b010060s010070 sumpop 29353368 i 45  Pw2ratio 0.115499 htratio 3.00782
soup time 18816 pop 3570 ratio 1.0 space 37654 30 37585 9434 rule lifelib r2b000540s0007c0 sumpop 75868068 i 6  Pw2ratio 0.0948106 htratio 0.501382
soup time 19128 pop 3021 ratio 1.0 space 76543 30 76169 38280 rule lifelib r2b030060s030060 sumpop 57904848 i 23  Pw2ratio 0.039468 htratio 2.00125
soup time 35928 pop 2654 ratio 1.0 space 76543 30 76331 3630 rule lifelib r2b009060s009060 sumpop 100044192 i 26  Pw2ratio 0.0346733 htratio 0.101035
soup time 6288 pop 2254 ratio 1.0 space 37654 30 36675 18845 rule lifelib r2b0040a0s0040b0 sumpop 17060496 i 9  Pw2ratio 0.0598608 htratio 2.99698
soup time 18816 pop 2208 ratio 1.0 space 37654 30 36375 9439 rule lifelib r2b000240s000350 sumpop 42208248 i 25  Pw2ratio 0.0586392 htratio 0.501648
soup time 18816 pop 1886 ratio 1.0 space 37654 30 41738 14082 rule lifelib r2b034340s034350 sumpop 58551984 i 25  Pw2ratio 0.0500876 htratio 0.748406
soup time 6288 pop 1704 ratio 1.0 space 37654 30 37496 18848 rule lifelib r2b014060s054060 sumpop 11575920 i 23  Pw2ratio 0.0452542 htratio 2.99746
soup time 18816 pop 1501 ratio 1.0 space 37654 30 37090 1892 rule lifelib r2b001060s001060 sumpop 30957972 i 46  Pw2ratio 0.039863 htratio 0.100553
soup time 6264 pop 1478 ratio 1.0 space 37654 30 37054 18832 rule lifelib r2b001060s001060 sumpop 11930340 i 27  Pw2ratio 0.0392521 htratio 3.00639
soup time 9420 pop 1390 ratio 1.0 space 37654 30 36034 18842 rule lifelib r2b044060s046060 sumpop 14500680 i 13  Pw2ratio 0.0369151 htratio 2.00021
soup time 5760 pop 1365 ratio 1.0 space 76543 30 75715 17022 rule lifelib r2b032860s032860 sumpop 100012800 i 9  Pw2ratio 0.0178331 htratio 2.95521
soup time 9396 pop 1331 ratio 1.0 space 37654 30 37118 18848 rule lifelib r2b004060s024460 sumpop 19235232 i 3  Pw2ratio 0.0353482 htratio 2.00596
soup time 18792 pop 1251 ratio 1.0 space 37654 30 36354 18836 rule lifelib r2b00d020s01d070 sumpop 24067584 i 39  Pw2ratio 0.0332236 htratio 1.00234
soup time 18804 pop 1228 ratio 1.0 space 37654 30 37359 18830 rule lifelib r2b04b060s04b060 sumpop 29536560 i 46  Pw2ratio 0.0326127 htratio 1.00138
soup time 18816 pop 1094 ratio 1.0 space 37654 30 36998 7542 rule lifelib r2b002120s002130 sumpop 23969196 i 23  Pw2ratio 0.029054 htratio 0.400829
soup time 9444 pop 982 ratio 1.0 space 37654 30 36832 18843 rule lifelib r2b0580a0s0590e0 sumpop 16119276 i 2  Pw2ratio 0.0260796 htratio 1.99524
soup time 18816 pop 781 ratio 1.0 space 37654 30 37128 11283 rule lifelib r2b002120s042130 sumpop 18263460 i 23  Pw2ratio 0.0207415 htratio 0.599649
soup time 9420 pop 720 ratio 1.0 space 37654 30 35555 18840 rule lifelib r2b00c860s04d860 sumpop 52329216 i 24  Pw2ratio 0.0191215 htratio 2
soup time 18816 pop 690 ratio 1.0 space 37654 30 51157 18779 rule lifelib r2b002860s022860 sumpop 63985704 i 14  Pw2ratio 0.0183247 htratio 0.998034
soup time 9732 pop 680 ratio 1.0 space 37654 30 36418 18837 rule lifelib r2b04a860s04a860 sumpop 54641652 i 4  Pw2ratio 0.0180592 htratio 1.93557
soup time 1188 pop 620 ratio 1.0 space 1600 30 1579 802 rule lifelib r2b0f00c0s01e1e0 sumpop 1356792 i 42  Pw2ratio 0.3875 htratio 0.675084
soup time 9396 pop 485 ratio 1.0 space 37654 30 37322 18840 rule lifelib r2b010010s010030 sumpop 4978692 i 37  Pw2ratio 0.0128804 htratio 2.00511
soup time 38256 pop 451 ratio 1.0 space 76543 30 90465 28727 rule lifelib r2b020340s061340 sumpop 18872136 i 19  Pw2ratio 0.00589211 htratio 0.750915
soup time 9432 pop 446 ratio 1.0 space 37654 30 35711 18840 rule lifelib r2b058010s05d030 sumpop 4695132 i 26  Pw2ratio 0.0118447 htratio 1.99746
soup time 9408 pop 430 ratio 1.0 space 37654 30 36008 18847 rule lifelib r2b000010s050030 sumpop 4535928 i 2  Pw2ratio 0.0114198 htratio 2.0033
soup time 9420 pop 421 ratio 1.0 space 37654 30 37059 18845 rule lifelib r2b021010s025030 sumpop 4533960 i 29  Pw2ratio 0.0111808 htratio 2.00053
soup time 9624 pop 415 ratio 1.0 space 37654 30 32695 18837 rule lifelib r2b000810s00f8b0 sumpop 44615856 i 21  Pw2ratio 0.0110214 htratio 1.95729
